domain,brand,operator,platform,confidence,evidence_host
lebull.com,Lebull,3-102-945060 SRL,,,
leclubbet.com,LeClubBet,LeClub Bet Ltd,,,
legenddrop.com,LegendDrop,Legenddrop Ltd,,,
letou.com,Letou,RegalTech Solutions Limitada,,,
levabet.com,LevaBet,Mistletoe Ltd,,,
levelupcasino.com,LevelUp Casino,Novatrix SRL,,,
ligobet.com,Ligobet,Obsidian Titan Limited,,,
like.casino,LikeCasino,3-102-948639 SRL,,,
liqd.com,LIQD,LIQD LTD,,,
liqd.gg,LIQD,LIQD LTD,,,
longtian.bet,LONG TIAN,U2IS Limited,,,
loonieplay.com,loonieplay.com,Kingside Push Ltd,,,
lord.casino,Lord,3-102-952681 SRL,,,
lt.com,Lt,RegalTech Solutions Limitada,,,
luckyclash.io,Early Access,Prime Entertainment Ltd,,,
luckycrew.com,403,Win Top Ltd,,,
luckyspy.com,Lucky Spy Casino,Solidplay Group Limitada,,,
lugarbet.com,LugarBet,3-102-951260 SRL,,,
lukkly.com,LUKKLY Casino,Nexluck Ltd,,,
lumibet.com,LumiBet,Wild Blackfin Limited SRL,,,
luminous.casino,Luminous,LuminousCompany Ltd.,,,
luxslot.com,Luxslot lic,Obsidian Titan Limited,,,
lv33.com,LV33,3-102-945737 SRL,,,
lv33.io,LV33,3-102-945737 SRL,,,
mad.casino,Mad Casino официальный сайт,3-102-938906 SRL,,,
madcasino.org,Mad Casino официальный сайт,3-102-938906 SRL,,,
magicreels.best,Magic Reels Casino,3-102-940828 SRL,,,
majorx.game,MajorX,Ay Information Technology LTD,,,
maltcasino.com,MaltCasino,Fortuna Digital Solutions FDS Limitada,,,
matadorbet.com,Matadorbet ⚡️ Matadorbet Giriş 2026 ⚡️,Galactic Infinity Ltd,,,
matbet.com,Matbet,Vesaro Limited,,,
matixbet.com,MatixBet,Mistletoe Ltd,,,
mavibet.com,Mavibet,3-102-949697 SRL,,,
maximumcasino.best,Maximum Casino,3-102-940828 SRL,,,
maxxcric.com,Exchange,Rich Able Developments Limited,,,
maxxed.io,Azure Static Web Apps,Obsidian Ventures Limited,,,
megapot.io,Megapot,Megapot Inc,,,
megasino.win,Megasino,Karthala Ventures Ltd,,,
meritwin.com,Meritwin,Nowplatform Ltd.,,,
metawin.com,Metawin,Rivolo Limited,,,
minix.game,MiniX,Ay Information Technology LTD,,,
minorx.game,MinorX,Ay Information Technology LTD,,,
misterxcasino.best,MisterX Casino,3-102-940828 SRL,,,
molcasino.com,Mol.Casino,Arkevia Group Ltd,,,
mollydice.com,Mollydice,Satoshi Labs Ltd,,,
mondcasino.com,Mond Casino,MOONSEEKER SRL,,,
moon.com,Moon,Moon International Ltd,,,
mrcat.com,Mrcat,RegalTech Solutions Limitada,,,
mybc.game,MYBC Casino,AceQueen Limited,,,
nakitbahis.com,Nakitbahis,3-102-949697 SRL,,,
nightluck.com,403,Win Top Ltd,,,
nolimit.com,Nolimit,Fuego Mediatech Ltd,,,
normal-game.com,Normal Game,3-102-950813 LIMITADA,,,
normal.game,Normal,3-102-950813 LIMITADA,,,
northwin.com,Northwin lic,Obsidian Titan Limited,,,
ohmywin.com,Nuevo Alojamiento,Liberty Walk Ltd,,,
oktop.mx,OKTOP.MX,Novaspin Network Ltd,,,
olabahis.com,Olabahis,Fortuna Digital Solutions FDS Limitada,,,
oncasi.com,ONCASI 最新ゲーム搭載オンカジ,U2IS Limited,,,
orionspins.best,Orion Spins Casino,3-102-940828 SRL,,,
orowin.bet,Orowin Casino,Win Vision N.V.,,,
otobet.com,Otobet,Obsidian Titan Limited,,,
oxy.casino,OXY,Spiritus Limited,,,
papayawins.best,Papaya Wins,3-102-940828 SRL,,,
parolambet.com,Loading...,3-102-952932 SRL,,,
partybet.ai,PartyBet,On Read SRL,,,
partybet.app,Partybet,On Read SRL,,,
partybet.bot,PartyBet,On Read SRL,,,
partybet.casino,PartyBet,On Read SRL,,,
partybet.fun,Partybet,On Read SRL,,,
partybet.social,PartyBet,On Read SRL,,,
partybet.win,PartyBet,On Read SRL,,,
peakbet.io,Hello There!,3-102-949997 SRL,,,
phonix.casino,Phonix Casino,3-102-939892 SRL,,,
pinbahis.com,Pinbahis,Fortuna Digital Solutions FDS Limitada,,,
pk8.com,Poker King,High Gaming IT Services Limited,,,
placebet.partners,Place.bet Partners,3-102-959375 SRL,,,
playandpredict.io,Play and Predict,Blackmere Ltd,,,
playify.com,Playify,Calla Pulse Ltd,,,
plump.com,Plump,BTR Gaming LTD,,,
pokerclubhub.com,Play & Host Online Poker Clubs,3-102-953867 SRL,,,
pokerjoker.com,Online Poker & Casino Thailand,PJK Trading Ltd,,,
pro11casino.com,Pro11casino,3-102-947393 SRL,,,
professorwins.best,Site unavailable,3-102-940828 SRL,,,
qqpk.com,QQPK,QQPOKER Technology Limited,,,
qqpk.poker,QQPK,QQPOKER Technology Limited,,,
questjack.com,Questjack,QuestJack Ltd,,,
quokkasino.com,Quokkasino,GBO ASSETS LTD,,,
raize.poker,RAIZE,3-102-943085 SRL,,,
redneckspins.com,Redneckspins,3-102-940146 SRL,,,
redslot.com,Access Restricted,3-102-953088 SRL,,,
reeljoy.com,Reeljoy,3-102-952820 SRL,,,
regal.casino,Hello There!,Zenorix Limited,,,
returntoplayer.io,Return to Player,Red Fisch Inc,,,
richevoslot.com,RICHEVO SLOT,Nuvorich Limited,,,
riskiiit.com,riskiiit,Overcooked Entertainment Ltd.,,,
robobet.com,Robobet,Aurevia Digital Ventures Ltd,,,
rolly.info,Platform,3-102-954977 SRL,,,
rooksbet.com,ᐈ Casino Online and Mobile,Prontogabriela SRL,,,
roulo.gg,Roulo,Roulo Interactive Games LLC,,,
roulobets.com,Roulo,Roulo Interactive Games LLC,,,
rugs.fun,Rugs,3-102-948660 SRL,,,
rumwin.com,Play and win every day on Rumwin.com,3-102-939534 SRL,,,
sahabet.com,Sahabet,Galactic Infinity Ltd,,,
sansli.io,Sansli,Dragonfruit Limited,,,
satfair.in,Sportsexch,3-102-942786 SRL,,,
scattr.com,SCATTR,Triglyph Technologies Ltd,,,
shinyjoker.best,Shiny Joker Casino,3-102-940828 SRL,,,
sierra.casino,Sierra,Mirella Ltd,,,
sikkaro.bet,Sikkarobet,Win Vision N.V.,,,
sinbet.co.com,Sinbet,GK INTERACTIVE LTD,,,
skybook.ag,Skybook,International Radical Investment Ltd,,,
slapperzz.com,Slapperzz,3-102-942611 SRL,,,
slash.bet,Hello There!,Flashpot Ltd,,,
slot.win,Slot.win,3-102-942828 SRL,,,
slotbaba.com,Slotbaba Official,IsleSoft Lab Ltd.,,,
slotin.com,Slotin,Obsidian Titan Limited,,,
slotio.com,Slotio,3-102-947593 SRL,,,
slotsmuse.best,SlotsMuse Casino,3-102-940828 SRL,,,
slotsshine.best,SlotsShine Casino,3-102-940828 SRL,,,
slotzula.com,Slotzula,Rambo Corp Limited,,,
solobet.com,SoloBet AMP,Obsidian Titan Limited,,,
solstake.tv,Solstake.tv,SOLSTART LTD,,,
spassino.com,Spassino Casino,Total Unlimited Marketing Ltd,,,
spin-betz.com,Spin Betz,Diamante Tech Ltd,,,
spin.io,Spin.io,FunGame LLC,,,
spinathlon.com,Forbidden,Win Top Ltd,,,
spinay.com,...,Oranox Ltd,,,
spinformula.com,Access Forbidden,Win Top Ltd,,,
spingreen.casino,SpinGreen Casino,3-102-950476 LIMITADA,,,
spinmywin.best,SpinMyWin Casino,3-102-940828 SRL,,,
spinpolo.com,403,Win Top Ltd,,,
spinrain.com,SpinRain,IsleSoft Lab Ltd.,,,
spinxtreme.com,SpinXtreme,Xtreme Platforms Limited,,,
sportsduel.com,Sports Duel,Kitsilano Limitada,,,
squadduel.com,Squad Duel,Kitsilano Limitada,,,
ssexch.io,SSExchange,3-102-942786 SRL,,,
ssplaywin.club,SSExchange,3-102-942786 SRL,,,
stack.bet,Stack.bet,3-102-936714 SRL,,,
stakeboss.com,Stakeboss Home,3-102-947775 Limitada,,,
stakevegas.com,Stake Vegas,PlayTrust Ltd,,,
stakevegas.net,Coming Soon,PlayTrust Ltd,,,
star.gg,STAR.GG,Skyborn Limited,,,
starzbet.com,Starzbet,Obsidian Titan Limited,,,
stepsino.com,Stepsino,Dexbay Ltd,,,
stradabet.com,Stradabet,Luxora Interactive Limited,,,
surewin168.com,sureWin,3-102-948637 SRL,,,
sweatbet.io,Sweatbet,3-102-944260 SRL,,,
taksimbet.com,Taksimbet,Maltech Ltd,,,
tau777.mx,Tau777,Novaspin Network Ltd,,,
tengri.casino,tengri.casino,Ingrex Tech LTD,,,
theluckyspinz.com,Theluckyspinz,Diamante Tech Ltd,,,
tibiablackjack.com,Tibiablackjack,QuestJack Ltd,,,
tibiadice.com,Tibia Dice,QuestJack Ltd,,,
tipobet.com,Tipobet Güncel Giriş Adresi,Galactic Infinity Ltd,,,
tipobet365.com,Tipobet,Galactic Infinity Ltd,,,
tomcasino.net,Casino,3-102-941391 SRL,,,
tomi.club,Tomi,Arkevia Group Ltd,,,
tonplay.com,Tonplay,Galaxy Byte Lab SRL,,,
trenchbet.com,Trench Bet,Lock In Capital Ltd,,,
triumphcasino.best,Restricted country,3-102-940828 SRL,,,
tubetrd.com,TuBetRD,3-102-948797 SRL,,,
tucanbit.io,TucanBit,3-102-940901 SRL,,,
tucasino.lat,TuCasino,Nova Code Limitada,,,
tweedbet.com,403,Win Top Ltd,,,
twinkywin.best,Site unavailable,3-102-940828 SRL,,,
twixos.com,Twixos,Global Score Ltd,,,
tycoonwin.com,Tycoon,3-102-950476 LIMITADA,,,
u.game,Loading,Aurora Soft Ltd,,,
u2is.tech,U2IS,U2IS Limited,,,
unlimcasino.com,Unlim казино официальный сайт,3-102-937046 SRL,,,
unlimluck.com,Forbidden,Win Top Ltd,,,
ustabet.com,...,Real Tech Ltd,,,
vamoplay.com,Vamo Play,3-102-938326 SRL,,,
